"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Year.high","Country","Alltime.high","Current.streak.without.loss","Longest.streak.without.loss","Naf.games.played","Win.procent","order"
"1","Jokaero","Super League S6 EU Championship A","Dwarf",2785,257.49,257.49,NA,"Jokaero",258.18,313.06,"Switzerland",313.06,3,18,"563 (327/131/105)",69.72,101
"2","helborg","Super League S6 EU Championship A","High Elf",22470,221.07,259.36,NA,"Helborg",288.37,319.22,"France",319.22,3,21,"463 (257/115/91)",67.93,101
"3","doclystria","Super League S6 EU Championship A","Necromantic Horror",2808,208.34,233.18,NA,"Miko",277.59,286.19,"Germany",286.19,3,19,"377 (211/84/82)",67.11,101
"4","Stimme","Super League S6 EU Championship A","Human",17245,180.87,247.33,NA,"Stimme",261.01,278.7,"Germany",278.7,0,35,"709 (398/179/132)",68.76,101
"5","fabienL","Super League S6 EU Championship A","Chaos Renegade",33562,178.41,185.08,NA,"FabienL",249.54,249.54,"France",249.54,10,11,"49 (30/13/6)",74.49,101
"6","Hovring","Super League S6 EU Championship A","Orc",34738,178.22,254.04,NA,"hovring",266.07,266.07,"Denmark",266.07,12,19,"54 (31/16/7)",72.22,101
"7","Endrophil","Super League S6 EU Championship A","Goblin",19682,174.06,196,NA,"Endro",229.91,230.42,"Germany",237.83,7,10,"177 (89/35/53)",60.17,101
"8","Junior84","Super League S6 EU Championship A","Dwarf",20857,165.45,259.21,NA,"Junior84",279.12,285.4,"Germany",285.4,0,28,"437 (237/124/76)",68.42,101
"9","KFoged","Super League S6 EU Championship B","Slann",10691,240.04,278.05,NA,"KFoged",262.44,284.13,"England",291.02,0,27,"732 (439/151/142)",70.29,102
"10","geggster","Super League S6 EU Championship B","Dwarf",70,223.8,240.69,NA,"Geggster",264.53,265.59,"England",278.83,2,19,"1142 (628/275/239)",67.03,102
"11","silkoun","Super League S6 EU Championship B","Wood Elf",14616,222.68,222.68,NA,"silkoun",252.52,257.32,"France",283.04,1,19,"346 (184/92/70)",66.47,102
"12","Tripleskull","Super League S6 EU Championship B","Amazon",9524,198.77,220.04,NA,"Tripleskull",254.84,261.59,"Denmark",272.11,2,20,"434 (239/109/86)",67.63,102
"13","Tschirgant","Super League S6 EU Championship B","Necromantic Horror",32633,179.77,238.75,NA,"Tschirgant",266.33,271.87,"Germany",271.87,3,18,"172 (102/43/27)",71.8,102
"14","Zelmor","Super League S6 EU Championship B","Dwarf",35956,NA,148.07,NA,"Zelmor",152.44,152.44,"Netherlands",154.41,2,3,"15 (6/3/6)",50,102
"15","LargoFL","Super League S6 EU Championship B","Dwarf",28291,NA,208.28,NA,"LargoFL",192.64,224.38,"Germany",246.32,1,11,"111 (55/28/28)",62.16,102
"16","SideshowBob","Super League S6 EU Championship B","Halfling",30799,NA,168.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
"17","olivierdulac","Super League S6 EU Div 1A","Skaven",18901,288.43,288.43,NA,"Olivierdulac",295.12,306.68,"France",331.11,1,28,"497 (315/81/101)",71.53,201
"18","freud","Super League S6 EU Div 1A","Lizardmen",13280,224.88,224.88,NA,"Freud",248.78,248.92,"Italy",258.74,8,10,"447 (203/111/133)",57.83,201
