,player_id,number,position,rerolls,assistantCoaches,cheerleaders,apothecary,roster.name,team_id,skill_id,Unnamed: 0,name,coach_name
0,15071478,1,Trained Troll,3,0,0,No,Goblin,1092739,413.0,62.0,Guard,yudlugar
1,15071479,2,Trained Troll,3,0,0,No,Goblin,1092739,413.0,62.0,Guard,yudlugar
2,15071480,3,Goblin Lineman,3,0,0,No,Goblin,1092739,369.0,121.0,Side Step,yudlugar
3,15071481,4,Goblin Lineman,3,0,0,No,Goblin,1092739,369.0,121.0,Side Step,yudlugar
4,15071482,5,Fanatic,3,0,0,No,Goblin,1092739,415.0,89.0,Mighty Blow,yudlugar
5,15071483,6,Goblin Lineman,3,0,0,No,Goblin,1092739,-1.0,,,yudlugar
6,15071484,7,Goblin Lineman,3,0,0,No,Goblin,1092739,381.0,129.0,Strip Ball,yudlugar
7,15071485,8,Goblin Lineman,3,0,0,No,Goblin,1092739,382.0,134.0,Sure Hands,yudlugar
8,15071486,9,Goblin Lineman,3,0,0,No,Goblin,1092739,375.0,41.0,Dirty Player,yudlugar
9,15071487,10,Goblin Lineman,3,0,0,No,Goblin,1092739,,,,yudlugar
10,15071488,11,Goblin Lineman,3,0,0,No,Goblin,1092739,,,,yudlugar
11,15071489,12,Goblin Lineman,3,0,0,No,Goblin,1092739,,,,yudlugar
12,15071490,13,Looney,3,0,0,No,Goblin,1092739,364.0,45.0,Dodge,yudlugar
13,15071491,14,Goblin Lineman,3,0,0,No,Goblin,1092739,,,,yudlugar
14,15071492,15,Goblin Lineman,3,0,0,No,Goblin,1092739,,,,yudlugar
15,15071493,16,Goblin Lineman,3,0,0,No,Goblin,1092739,,,,yudlugar
16,99999999,99,3 bribes,3,0,0,No,Goblin,1092739,,62.0,,yudlugar
17,15063983,1,Ogre,3,0,0,Yes,Human,1092235,413.0,62.0,Guard,JackH
18,15063984,2,Blitzer,3,0,0,Yes,Human,1092235,413.0,62.0,Guard,JackH
19,15063985,3,Blitzer,3,0,0,Yes,Human,1092235,413.0,62.0,Guard,JackH
20,15063986,4,Blitzer,3,0,0,Yes,Human,1092235,413.0,62.0,Guard,JackH
21,15063987,5,Blitzer,3,0,0,Yes,Human,1092235,413.0,62.0,Guard,JackH
22,15063988,6,Thrower,3,0,0,Yes,Human,1092235,,,,JackH
23,15063989,7,Catcher,3,0,0,Yes,Human,1092235,370.0,124.0,Sneaky Git,JackH
24,15063990,8,Catcher,3,0,0,Yes,Human,1092235,,,,JackH
25,15063991,9,Human Lineman,3,0,0,Yes,Human,1092235,384.0,159.0,Wrestle,JackH
26,15063992,10,Human Lineman,3,0,0,Yes,Human,1092235,,,,JackH
27,15063994,11,Human Lineman,3,0,0,Yes,Human,1092235,-1.0,,,JackH
28,15063995,12,Human Lineman,3,0,0,Yes,Human,1092235,-1.0,,,JackH
29,15063996,13,Human Lineman,3,0,0,Yes,Human,1092235,-1.0,,,JackH
30,99999999,99,1 bribe,3,0,0,Yes,Human,1092235,,62.0,,JackH
31,15075565,1,Untrained Troll,2,0,0,Yes,Orc,1093003,-1.0,,,Gorbruk
32,15075566,2,Big Un Blocker,2,0,0,Yes,Orc,1093003,373.0,20.0,Block,Gorbruk
33,15075567,3,Big Un Blocker,2,0,0,Yes,Orc,1093003,373.0,20.0,Block,Gorbruk
34,15075568,4,Big Un Blocker,2,0,0,Yes,Orc,1093003,373.0,20.0,Block,Gorbruk
35,15075569,5,Big Un Blocker,2,0,0,Yes,Orc,1093003,,,,Gorbruk
36,15075585,6,Blitzer,2,0,0,Yes,Orc,1093003,383.0,138.0,Tackle,Gorbruk
37,15075586,7,Blitzer,2,0,0,Yes,Orc,1093003,415.0,89.0,Mighty Blow,Gorbruk
38,15075587,8,Blitzer,2,0,0,Yes,Orc,1093003,413.0,62.0,Guard,Gorbruk
39,15075588,9,Blitzer,2,0,0,Yes,Orc,1093003,,,,Gorbruk
40,15075589,10,Orc Lineman,2,0,0,Yes,Orc,1093003,-1.0,,,Gorbruk
41,15075590,11,Orc Lineman,2,0,0,Yes,Orc,1093003,-1.0,,,Gorbruk
42,15075591,12,Goblin,2,0,0,Yes,Orc,1093003,-1.0,,,Gorbruk
43,15075592,13,Goblin,2,0,0,Yes,Orc,1093003,,,,Gorbruk
44,99999999,99,,2,0,0,Yes,Orc,1093003,,20.0,,Gorbruk
45,15094867,1,Rat Ogre,2,0,0,No,Skaven,1094285,414.0,74.0,Juggernaut,Zama
46,15094868,2,Blitzer,2,0,0,No,Skaven,1094285,-1.0,,,Zama
47,15094869,3,Gutter Runner,2,0,0,No,Skaven,1094285,381.0,129.0,Strip Ball,Zama
48,15094870,4,Gutter Runner,2,0,0,No,Skaven,1094285,,,,Zama
49,15094871,5,Gutter Runner,2,0,0,No,Skaven,1094285,,,,Zama
50,15094880,6,Skaven Clanrat Lineman,2,0,0,No,Skaven,1094285,-1.0,,,Zama
51,15094878,7,Thrower,2,0,0,No,Skaven,1094285,403.0,81.0,Leader,Zama
52,15094881,8,Skaven Clanrat Lineman,2,0,0,No,Skaven,1094285,-1.0,,,Zama
53,15094882,9,Skaven Clanrat Lineman,2,0,0,No,Skaven,1094285,-1.0,,,Zama
54,15094886,10,Skaven Clanrat Lineman,2,0,0,No,Skaven,1094285,-1.0,,,Zama
55,15094889,11,Skaven Clanrat Lineman,2,0,0,No,Skaven,1094285,-1.0,,,Zama
56,15094890,12,Skaven Clanrat Lineman,2,0,0,No,Skaven,1094285,-1.0,,,Zama
57,99999999,99,Star player Kreek Rustgouger,2,0,0,No,Skaven,1094285,,,,Zama
58,15094933,1,Blitzer,3,0,1,No,High Elf,1094290,364.0,45.0,Dodge,Chusin76
59,15094933,1,Blitzer,3,0,1,No,High Elf,1094290,383.0,138.0,Tackle,Chusin76
60,15094934,2,Blitzer,3,0,1,No,High Elf,1094290,364.0,45.0,Dodge,Chusin76
