NAF name,Team,Race,Coach,Tournament,Rank,#,Alltime high,Avg Position,Avg Race NAF Rank,Avg Score,Avg_Alltime high,Avg_Coach rating,Avg_Win %,Avg_Year high,Coach rating,Description,Field_1,FileName,Individual Score,NAF #,NAF + Team Name,Naf nick,Number of Coaches,Number of Position,Number of Race,Number of Races,Package,PDF Name,Race Frequency,Races,Seeding,Seeding - Avg Alltime High,Seeding - Avg Win %,Seeding - Coach Rating,Seeding - Race Rank,Seeding - Year High,Skill,Stars,Type,Win %,Year high
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,,245.82,0.8,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Apothecary,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,49,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,1,Other,Others,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,,245.82,1.0,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Re-rolls,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,61,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,2,Other,Others,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,1,245.82,2.0,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Blitzer,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,124,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,Dodge,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,10,245.82,5.5,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Lineman,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,340,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81, ,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,11,245.82,5.5,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Lineman,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,340,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81, ,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,12,245.82,5.5,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Lineman,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,340,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81, ,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,2,245.82,2.0,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Blitzer,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,124,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,Dodge,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,3,245.82,3.0,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Catcher,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,186,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,Dodge,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,4,245.82,3.0,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Catcher,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,186,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,Dodge,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,5,245.82,3.0,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Catcher,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,186,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,"Wrestle, Frenzy*",Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,6,245.82,1.6,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Thrower,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,102,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,Leader,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,7,245.82,1.6,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Thrower,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,102,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81, ,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,8,245.82,5.5,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Lineman,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,340,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,Block,Other,Players,59.76,245.82
SickAsEggs,3 Scots and Token English,Elven Union,SickAsEggs_29300.pdf,Europen,185.89,9,245.82,5.5,158.8,179.2,179.2,173.8,63.2,177.9,229.48,Lineman,1,eb_roster_extracted_20250923T074724,245.82,29300,SickAsEggs_29300.pdf3 Scots and Token English,SickasEggs,797,340,62,30,None,SickAsEggs_29300.pdf,62,30,99,99,9,76,77,81,Block,Other,Players,59.76,245.82
RandomJunk,3 Scots and Token English,Orc,RandomJunk_33387.pdf,Europen,150,,162.75,0.3,158.8,179.2,179.2,173.8,63.2,177.9,162.75,Apothecary,0,eb_roster_extracted_20250923T074724,162.75,33387,RandomJunk_33387.pdf3 Scots and Token English,RandomJunk,797,11,42,30,Training camp,RandomJunk_33387.pdf,42,30,99,99,9,76,77,81,1,Other,Others,58.33,162.75
