,fumbbl_coach_name,naf_link,naf_id
0,TheRedoubt,theredoubt (37895),37895
1,Harpick,Harpick (32145),32145
2,Xtreme,Xtreme (1315),1315
3,razmus,razmus (24325),24325
4,Endrophil,Endro (19682),19682
5,fabienL,FabienL (33562),33562
6,Lort_paa_braettet,no NAF link found,
7,cdassak,cdassak (26050),26050
8,Thoriin,bruce33 (40030),40030
9,Rijssiej,Rijssiej (11330),11330
10,paperbag4,paperbag4 (17898),17898
11,EvilSmoothie,EvilSmoothie (28783),28783
12,Mind_Locker,Mind_Locker (29192),29192
13,AmazingGaze,AmazingGaze (32634),32634
14,Dodge22,dodge22 (32391),32391
15,palmtaiga,Palmtaiga (27077),27077
16,Solaris,Solaris_7 (22731),22731
17,Thot,Thot (19526),19526
18,il-Fieres,Fieres (26579),26579
19,LargoFL,LargoFL (28291),28291
20,WoZoI,wozoi (30779),30779
21,Zahiko,zahiko (13997),13997
22,WiIfred,shellshock (29172),29172
23,siggi,siggi (25971),25971
24,MerryZ,no NAF link found,
25,rayhell,rayhell (30281),30281
26,Schwifty,Schwifty (2714),2714
27,Topas,topas (22100),22100
28,madvig,MadVig (24222),24222
29,Tok_Janne,tok_janne (25744),25744
30,doclystria,Miko (2808),2808
31,Ion,ion (30099),30099
32,Bashto,Bashto (32021),32021
33,Ranzimus,Ranzimus (24874),24874
34,Jblackmane,jblackmane (31370),31370
35,Juiblex,juiblex (25515),25515
36,DarkOrk20,DarkOrk20 (7593),7593
37,paulc899,Paul (6654),6654
38,Hiliadan,no NAF link found,
39,baronvdw,Baronvdw (27703),27703
40,tyler_swaft,Tyler_swaft (33323),33323
41,fienoss,fienoss (29892),29892
42,Padster61,Padster (26810),26810
43,trefenwyd,trefenwyd (25645),25645
44,Coewolf,coewolf (23332),23332
45,Strider84,strider84 (14113),14113
46,outcaarst,outcaarst (15546),15546
47,Gallo,Gallo (20999),20999
48,DaProfezzur,DaProfezzur (28975),28975
49,Mushkun,Snows (29829),29829
50,Sandune,Sandune (15142),15142
51,FL0,FL0 (30447),30447
52,GreenskinPhil,greenskinphil (31674),31674
53,Hugo21_,Hugo21 (33563),33563
54,Rib-Goaty,Rib-Goaty (40225),40225
55,OwenZ51,FauxOwen (36383),36383
56,uncertain,Narok (13715),13715
57,Dynamix,no NAF link found,
58,PilePoil,pilepoil (33458),33458
59,Rubick,Rubick (17243),17243
60,MontelGee,montelleke (35493),35493
61,rodvil,rodvil (24496),24496
62,Piogele,piogele (27730),27730
63,Budmilka,Budmilka (20320),20320
64,Jelmer,jelmer (129),129
65,helborg,Helborg (22470),22470
66,PurpleChest,PurpleChest (24645),24645
67,geggster,Geggster (70),70
68,thulean,thulean (28239),28239
69,Grither,Grither (10904),10904
70,Raztout,Raztout (16824),16824
71,cymob,cymob (29533),29533
72,Dirtygit,Bastich (19152),19152
73,DrClaes,drclaes (29945),29945
74,elodius,elodius (26080),26080
75,ClayInfinity,ClayInfinity (8442),8442
76,historic,Historic (22667),22667
77,BBWill,BBWill (31685),31685
78,straume,Straume (20685),20685
79,Sammy_the_murderer,Sammy_The_Murderer (32047),32047
80,brinu,Brinu (30476),30476
81,Oventa,Oventa (9610),9610
82,Candlejack,Candlejack (5844),5844
83,Seamoose,seamoose (18753),18753
84,joeseph,joeseph (38195),38195
85,naytsyrhc,naytsyrhc (27808),27808
86,spinball,frozenflame (4789),4789
87,ThatGuyYouAre,zadrian (31249),31249
88,warpstone,Warpstone (13205),13205
89,mepmuff_2,mepmuff (6123),6123
90,Nime_l_Ancien,Nîme_l_Ancien (17768),17768
91,gumbi,gumbi (9259),9259
92,silkoun,silkoun (14616),14616
93,Widram,Widram (26904),26904
94,Waschik,Waschik (31728),31728
95,Edwin,Edwin (25301),25301
96,JLeav,jleav (33751),33751
97,Mercutio,mercutio_uk (38452),38452
98,SideshowBob,sideshowbob (30799),30799
99,Valen,Valen (1538),1538
100,dragonborn,dragonborn (22580),22580
101,raiksnn,raiksnn (30774),30774
102,chaoskopp,chaoskopp (31217),31217
103,happygrue,happygrue (16876),16876
104,pedro_fgomes,karnuss (26033),26033
105,Tuga,MarcosGrande (24918),24918
106,goldengate,Goldengate (23406),23406
107,MONGOR79,MONGOR (25820),25820
108,Stimme,Stimme (17245),17245
109,Grumplekins,grumplekins (26358),26358
110,CromFrance,CromFrance (13555),13555
111,Zelmor,Zelmor (35956),35956
112,Maveho,no NAF link found,
113,Bojo,Lord_Bojo (7539),7539
114,Davouille,Davouille (21118),21118
115,Beltroniko,Beltroniko (36563),36563
116,KFoged,kfoged (10691),10691
117,vradipous,Vradipous (28432),28432
118,spoboyle,spob (22121),22121
119,Oren,Oren (26068),26068
120,Fatzke,fatzke423 (26463),26463
121,Tripleskull,Tripleskull (9524),9524
122,ForceFrenzy,forcefrenzy (35033),35033
123,xtapodias,xtapodias (28002),28002
