,number,position,skills,cnt,team_id,coach_name,tournament_name,roster.name
0,1,Loren Forest Treeman,,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
1,2,Wardancer,Strip Ball,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
2,3,Wardancer,Sidestep,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
3,4,Wood Elf Catcher,,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
4,5,Wood Elf Catcher,,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
5,6,Wood Elf Thrower,Leader,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
6,7,Wood Elf Lineman,Dodge,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
7,8,Wood Elf Lineman,Dodge,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
8,9,Wood Elf Lineman,Dodge,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
9,10,Wood Elf Lineman,,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
10,11,Wood Elf Lineman,,1,160549,Khan,Welcome to the 3rd Edition,Wood Elf
11,99,rerolls,,2,160549,Khan,Welcome to the 3rd Edition,Wood Elf
12,1,Black Orc,Mighty Blow,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
13,2,Black Orc,Block,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
14,3,Black Orc,Block,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
15,4,Black Orc,Guard,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
16,5,Black Orc,Mighty Blow,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
17,6,Black Orc,Guard,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
18,7,Goblin Bruiser,Strip Ball,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
19,8,Goblin Bruiser,,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
20,9,Goblin Bruiser,,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
21,10,Goblin Bruiser,,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
22,11,Goblin Bruiser,,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
23,13,Trained Troll,Block,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
24,99,rerolls,,3,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
25,99,assistant_coaches,,2,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
26,99,Bribes,,1,160188,OlafWonderbeard,Welcome to the 3rd Edition,Black Orc
27,1,Rotspawn,Block,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
28,2,Bloater,Mighty Blow,1,160914,Vlad Zinchenko,Welcome to the 3rd Edition,Nurgle
