"","number","position","skill_name","cnt","team_id","coach_name","tournament_name","roster.name","group_name","color","sort_order","cost","player_id"
"1",1,"Altern Forest Treeman","Guard",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","green",10,120,1
"2",2,"Dwarf Blitzer","Guard",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","green",7,80,2
"3",3,"Troll Slayer","Guard",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","green",8,95,3
"4",4,"Human Blitzer","Mighty Blow",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","red",4,90,4
"5",6,"Human Thrower","Block",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","blue",2,80,5
"6",7,"Human Catcher","Block",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","blue",3,65,6
"7",8,"Dwarf Lineman","",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",5,75,7
"8",11,"Dwarf Lineman","",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",5,75,8
"9",12,"Dwarf Lineman","",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",5,75,9
"10",9,"Human Lineman","Wrestle",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","grey80",1,50,10
"11",5,"Human Lineman","",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",1,50,11
"12",10,"Halfling Hopeful","",1,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",9,30,12
"13",99,"rerolls","",3,167856,"Chuck-Dredd","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",20,70,13
"14",1,"Altern Forest Treeman","Guard",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","green",10,120,14
"15",2,"Dwarf Blitzer","Guard",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","green",7,80,15
"16",3,"Troll Slayer","Guard",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","green",8,95,16
"17",4,"Human Blitzer","Mighty Blow",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","red",4,90,17
"18",5,"Human Thrower","Block",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","blue",2,80,18
"19",6,"Human Catcher","Block",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","blue",3,65,19
"20",7,"Dwarf Lineman","",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",5,75,20
"21",8,"Dwarf Lineman","",1,164038,"Jacob T","Welsh National Championship 2026","Old World Alliance","Welsh National","grey50",5,75,21
