,number,position,skills,cnt,team_id,coach_name,tournament_name,roster.name
0,1,Altern Forest Treeman,Guard,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
1,2,Dwarf Blitzer,Guard,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
2,3,Troll Slayer,Guard,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
3,4,Human Blitzer,Mighty Blow,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
4,6,Human Thrower,Block,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
5,7,Human Catcher,Block,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
6,8,Dwarf Lineman,,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
7,11,Dwarf Lineman,,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
8,12,Dwarf Lineman,,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
9,9,Human Lineman,Wrestle,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
10,5,Human Lineman,,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
11,10,Halfling Hopeful,,1,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
12,99,rerolls,,3,167856,Chuck-Dredd,Welsh National Championship 2026,Old World Alliance
13,1,Altern Forest Treeman,Guard,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
14,2,Dwarf Blitzer,Guard,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
15,3,Troll Slayer,Guard,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
16,4,Human Blitzer,Mighty Blow,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
17,5,Human Thrower,Block,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
18,6,Human Catcher,Block,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
19,7,Dwarf Lineman,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
20,8,Dwarf Lineman,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
21,9,Dwarf Lineman,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
22,10,Dwarf Runner,Leader,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
23,11,Human Lineman,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
24,12,Human Lineman,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
25,13,Halfling Hopeful,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
26,14,Halfling Hopeful,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
27,99,rerolls,,2,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
28,99,assistant_coaches,,1,164038,Jacob T,Welsh National Championship 2026,Old World Alliance
29,1,Troll,,1,169360,Rubick84,Welsh National Championship 2026,Orc
30,2,Big Un Blocker,Block,1,169360,Rubick84,Welsh National Championship 2026,Orc
31,3,Big Un Blocker,Block,1,169360,Rubick84,Welsh National Championship 2026,Orc
32,4,Orc Blitzer,Guard,1,169360,Rubick84,Welsh National Championship 2026,Orc
33,5,Orc Blitzer,Guard,1,169360,Rubick84,Welsh National Championship 2026,Orc
34,6,Orc Thrower,Block,1,169360,Rubick84,Welsh National Championship 2026,Orc
35,7,Orc Thrower,,1,169360,Rubick84,Welsh National Championship 2026,Orc
36,8,Goblin Lineman,,1,169360,Rubick84,Welsh National Championship 2026,Orc
37,9,Orc Lineman,Guard,1,169360,Rubick84,Welsh National Championship 2026,Orc
38,10,Orc Lineman,Guard,1,169360,Rubick84,Welsh National Championship 2026,Orc
39,11,Orc Lineman,,1,169360,Rubick84,Welsh National Championship 2026,Orc
40,12,Orc Lineman,,1,169360,Rubick84,Welsh National Championship 2026,Orc
41,13,Orc Lineman,,1,169360,Rubick84,Welsh National Championship 2026,Orc
42,99,rerolls,,3,169360,Rubick84,Welsh National Championship 2026,Orc
43,99,dedicated_fans,,1,169360,Rubick84,Welsh National Championship 2026,Orc
44,1,Witch Elf,Block,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
45,2,Witch Elf,Wrestle,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
46,3,Dark Elf Blitzer,Dodge,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
47,4,Dark Elf Blitzer,Dodge,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
48,5,Dark Elf Assassin,Dodge,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
49,6,Dark Elf Assassin,Dodge,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
50,7,Dark Elf Lineman,Kick,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
51,8,Dark Elf Lineman,,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
52,9,Dark Elf Lineman,,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
53,10,Dark Elf Lineman,,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
54,11,Dark Elf Lineman,,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
55,12,Dark Elf Lineman,,1,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
56,99,rerolls,,3,165399,TomTheOwl,Welsh National Championship 2026,Dark Elf
57,1,Skaven Thrower,Block,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
58,2,Skaven Blitzer,Two Heads,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
59,3,Gutter Runner,Block,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
60,4,Skaven Clanrat,Wrestle,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
61,5,Skaven Clanrat,Wrestle,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
62,6,Skaven Clanrat,Wrestle,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
63,7,Rat Ogre,Juggernaut,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
64,8,Goblin Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
65,9,Goblin Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
66,10,Goblin Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
67,12,Snotling Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
68,11,Snotling Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
69,13,Snotling Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
70,14,Snotling Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
71,15,Snotling Lineman,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
72,99,rerolls,,3,176148,Coach,Welsh National Championship 2026,Underworld Denizens
73,99,assistant_coaches,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
74,99,Bribes,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
75,99,DodgyLeagueRep,,1,176148,Coach,Welsh National Championship 2026,Underworld Denizens
76,1,Flesh Golem,Guard,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
77,2,Flesh Golem,Guard,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
78,3,Werewolf,Block,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
79,4,Werewolf,Block,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
80,5,Wraith,Guard,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
81,6,Wraith,Guard,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
82,7,Ghoul Runner,Block,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
83,8,Ghoul Runner,,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
84,9,Zombie Lineman,,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
85,10,Zombie Lineman,,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
86,11,Zombie Lineman,,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
87,12,Zombie Lineman,,1,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
88,99,rerolls,,3,164335,camelchops,Welsh National Championship 2026,Necromantic Horror
89,1,Mummy,Block,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
90,2,Mummy,Guard,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
91,3,Wight Blitzer,Mighty Blow,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
92,4,Wight Blitzer,Guard,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
93,5,Ghoul Runner,Block,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
94,6,Ghoul Runner,Block,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
95,7,Zombie Lineman,,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
96,8,Zombie Lineman,,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
97,9,Zombie Lineman,,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
98,10,Zombie Lineman,,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
99,11,Zombie Lineman,,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
100,12,Zombie Lineman,,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
101,14,Zombie Lineman,,1,169292,ceetee,Welsh National Championship 2026,Shambling Undead
102,99,rerolls,,4,169292,ceetee,Welsh National Championship 2026,Shambling Undead
103,1,Wardancer,Strip Ball,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
104,2,Wardancer,Tackle,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
105,3,Loren Forest Treeman,,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
106,4,Wood Elf Catcher,Block,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
107,5,Wood Elf Catcher,Sidestep,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
108,6,Wood Elf Lineman,Dodge,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
109,7,Wood Elf Lineman,Dodge,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
110,8,Wood Elf Lineman,Block,1,171084,Danimal,Welsh National Championship 2026,Wood Elf
