"","coach_name","tournament_name","roster.name","naf_id","ranking","best_ranking","X","Naf.nick","Coach.rating","Alltime.high","Year.high","Country","Naf.games.played","Win.procent","order","division"
"1","Jokaero","Super League S6 EU Championship A","Dwarf",2785,257.49,257.49,NA,"Jokaero",299.62,313.06,302.79,"Switzerland","649 (381/154/114)",70.57,101,"00 – EU Championship"
"2","helborg","Super League S6 EU Championship A","High Elf",22470,221.07,259.36,NA,"Helborg",258.54,319.22,275.74,"France","508 (283/124/101)",67.91,101,"00 – EU Championship"
"3","doclystria","Super League S6 EU Championship A","Necromantic Horror",2808,208.34,233.18,NA,"Miko",248.09,286.2,278.99,"Germany","395 (219/89/87)",66.71,101,"00 – EU Championship"
"4","Stimme","Super League S6 EU Championship A","Human",17245,180.87,247.33,NA,"Stimme",240.48,285.31,285.31,"Germany","785 (444/192/149)",68.79,101,"00 – EU Championship"
"5","fabienL","Super League S6 EU Championship A","Chaos Renegade",33562,178.41,185.08,NA,"FabienL",230.28,254.63,254.63,"France","64 (38/15/11)",71.09,101,"00 – EU Championship"
"6","Hovring","Super League S6 EU Championship A","Orc",34738,178.22,254.04,NA,"hovring",285.7,297,297,"Denmark","89 (54/26/9)",75.28,101,"00 – EU Championship"
"7","Endrophil","Super League S6 EU Championship A","Goblin",19682,174.06,196,NA,"Endro",221.29,237.82,0,"Germany","180 (90/36/54)",60,101,"00 – EU Championship"
"8","Junior84","Super League S6 EU Championship A","Dwarf",20857,165.45,259.21,NA,"Junior84",270.03,288.62,285.11,"Germany","489 (268/136/85)",68.71,101,"00 – EU Championship"
"9","KFoged","Super League S6 EU Championship B","Slann",10691,240.04,278.05,NA,"KFoged",247.99,291.02,277.64,"England","776 (464/159/153)",70.04,102,"00 – EU Championship"
"10","geggster","Super League S6 EU Championship B","Dwarf",70,223.8,240.69,NA,"Geggster",268.37,283.6,283.6,"England","1166 (642/279/245)",67.02,102,"00 – EU Championship"
"11","silkoun","Super League S6 EU Championship B","Wood Elf",14616,222.68,222.68,NA,"silkoun",237.54,283.03,256.92,"France","395 (209/103/83)",65.95,102,"00 – EU Championship"
"12","Tripleskull","Super League S6 EU Championship B","Amazon",9524,198.77,220.04,NA,"Tripleskull",273.11,273.11,273.11,"Denmark","443 (246/110/87)",67.95,102,"00 – EU Championship"
"13","Tschirgant","Super League S6 EU Championship B","Necromantic Horror",32633,179.77,238.75,NA,"Tschirgant",284.52,290.72,290.72,"Germany","242 (147/64/31)",73.97,102,"00 – EU Championship"
"14","Zelmor","Super League S6 EU Championship B","Dwarf",35956,NA,148.07,NA,"Zelmor",149.08,154.67,0,"Netherlands","18 (6/5/7)",47.22,102,"00 – EU Championship"
"15","LargoFL","Super League S6 EU Championship B","Dwarf",28291,NA,208.28,NA,"LargoFL",212.18,246.33,221.2,"Germany","127 (64/31/32)",62.6,102,"00 – EU Championship"
"16","SideshowBob","Super League S6 EU Championship B","Halfling",30799,NA,168.54,NA,"sideshowbob",170.96,174.83,174.83,"Sweden","6 (3/2/1)",66.67,102,"00 – EU Championship"
"17","olivierdulac","Super League S6 EU Div 1A","Skaven",18901,288.43,288.43,NA,"Olivierdulac",305.48,331.11,0,"France","502 (320/81/101)",71.81,201,"01 – EU Div 1"
"18","freud","Super League S6 EU Div 1A","Lizardmen",13280,224.88,224.88,NA,"Freud",227.4,258.74,257.84,"Italy","462 (209/116/137)",57.79,201,"01 – EU Div 1"
"19","Budmilka","Super League S6 EU Div 1A","Dwarf",20320,181.69,211.82,NA,"Budmilka",221.13,242.23,225.29,"France","604 (255/157/192)",55.22,201,"01 – EU Div 1"
"20","Solaris","Super League S6 EU Div 1A","Vampire",22731,165.18,174.62,NA,"Solaris_7",206.23,211.81,211.81,"Germany","45 (21/15/9)",63.33,201,"01 – EU Div 1"
